trip_year,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,Trips_on_route
2014,40.71754834,-74.01322069,40.73291553,-74.00711384,1686
2014,40.72917025,-73.99810231,40.73492695,-73.99200509,1685
2014,40.73291553,-74.00711384,40.7405826,-74.00550867,1669
2014,40.7575699,-73.99098507,40.76030096,-73.99884222,1662
2014,40.74290902,-73.97706058,40.749156,-73.9916,1660
2014,40.71273266,-74.0046073,40.71542197,-74.01121978,1657
2014,40.74780373,-73.9734419,40.74290902,-73.97706058,1654
2014,40.75044999,-73.99481051,40.7454973,-74.00197139,1649
2014,40.76915505,-73.98191841,40.770513,-73.988038,1647
2014,40.76695317,-73.98169333,40.76064679,-73.98442659,1640
2014,40.71754834,-74.01322069,40.711512,-74.015756,1639
2014,40.693261,-73.968896,40.69196566,-73.9813018,1635
2014,40.74195138,-74.00803013,40.71754834,-74.01322069,1634
2014,40.76030096,-73.99884222,40.751551,-73.993934,1631
2014,40.749156,-73.9916,40.73704984,-73.99009296,1629
2014,40.74096374,-73.98602213,40.749156,-73.9916,1626
2014,40.73028666,-73.9907647,40.72453734,-73.98185424,1621
2014,40.74173969,-73.99415556,40.75044999,-73.99481051,1615
2014,40.74734825,-73.99723551,40.751396,-74.005226,1613
2014,40.751396,-74.005226,40.74734825,-73.99723551,1601
2014,40.75660359,-73.9979009,40.751551,-73.993934,1600
2014,40.71542197,-74.01121978,40.72043411,-74.01020609,1597
2014,40.70277159,-73.99383605,40.71273266,-74.0046073,1597
2014,40.7454973,-74.00197139,40.74173969,-73.99415556,1595
2014,40.7153379,-74.01658354,40.711512,-74.015756,1587
2014,40.71754834,-74.01322069,40.74195138,-74.00803013,1585
2014,40.749156,-73.9916,40.74444921,-73.98303529,1583
2014,40.746647,-73.993915,40.75066386,-74.00176802,1567
2014,40.7403432,-73.98955109,40.73704984,-73.99009296,1567
2014,40.72779126,-73.98564945,40.73028666,-73.9907647,1566
2014,40.749717753,-74.002950346,40.74734825,-73.99723551,1566
2014,40.7423543,-73.98915076,40.749156,-73.9916,1563
2014,40.71754834,-74.01322069,40.71273266,-74.0046073,1562
2014,40.73172428,-74.00674436,40.7390169121,-74.0026376103,1553
2014,40.74475148,-73.99915362,40.75044999,-73.99481051,1552
2014,40.7457121,-73.98194829,40.74144387,-73.97536082,1550
2014,40.69196566,-73.9813018,40.69308257,-73.97178913,1548
2014,40.76915505,-73.98191841,40.76019252,-73.9912551,1546
2014,40.73047747,-73.99906065,40.73492695,-73.99200509,1545
2014,40.72873888,-74.00748842,40.75044999,-73.99481051,1542
2014,40.73704984,-73.99009296,40.749156,-73.9916,1540
2014,40.73291553,-74.00711384,40.71754834,-74.01322069,1534
2014,40.74734825,-73.99723551,40.75044999,-73.99481051,1531
2014,40.74177603,-74.00149746,40.746745,-74.007756,1528
2014,40.73454567,-73.99074142,40.73028666,-73.9907647,1525
2014,40.68981035,-73.97493121,40.689888,-73.981013,1518
2014,40.73221853,-73.98165557,40.73704984,-73.99009296,1517
2014,40.73221853,-73.98165557,40.74144387,-73.97536082,1514
2014,40.75044999,-73.99481051,40.76370739,-73.9851615,1501
